file_id,2_instruct-pix2pix|ssim_unedit_part,2_instruct-pix2pix|lpips_unedit_part,2_instruct-pix2pix|clip_similarity_target_image
000000000090,0.9993859529495239,0.001953902654349804,13.388472557067871
000000000091,0.3500710725784302,0.5688537359237671,25.814443588256836
000000000092,0.5255321264266968,0.4160098433494568,18.409286499023438
000000000093,0.9186476469039917,0.138042613863945,24.19609260559082
000000000094,0.7227503657341003,0.24446846544742584,28.99868392944336
000000000095,0.7139627933502197,0.10673888772726059,27.258136749267578
000000000096,nan,nan,21.3143253326416
000000000097,0.7986927032470703,0.0702303797006607,24.393278121948242
000000000098,0.9613143801689148,0.022771960124373436,25.399721145629883
000000000099,0.6448272466659546,0.11682652682065964,17.209129333496094
000000000100,0.9708601832389832,0.016571389511227608,28.936077117919922
000000000101,0.9154831171035767,0.1203409880399704,23.339679718017578
000000000102,0.9180095195770264,0.057219646871089935,27.18511199951172
000000000103,nan,nan,24.82811164855957
000000000104,0.8129207491874695,0.12226361781358719,26.819477081298828
000000000105,0.5254073143005371,0.11195655167102814,29.195716857910156
000000000106,0.7713653445243835,0.16587813198566437,28.400554656982422
000000000107,0.7768419981002808,0.05849117785692215,21.65437126159668
000000000108,nan,nan,15.22491455078125
000000000109,0.3066059947013855,0.5300925970077515,17.363492965698242
000000000110,0.9411897659301758,0.018957087770104408,16.242488861083984
000000000111,0.9904065132141113,0.005814673844724894,20.072355270385742
000000000112,0.6759027242660522,0.07150685042142868,28.88867950439453
000000000113,0.6601163148880005,0.06319485604763031,27.980051040649414
000000000114,nan,nan,21.30217933654785
000000000115,0.9257105588912964,0.09105449914932251,21.567401885986328
000000000116,0.6923133730888367,0.3393203318119049,15.739938735961914
000000000117,0.8648824691772461,0.1014644056558609,25.20824432373047
000000000118,0.9855539202690125,0.003888806328177452,22.749895095825195
000000000119,0.7540682554244995,0.2129323035478592,26.771440505981445
000000000120,0.9634060263633728,0.029221298173069954,26.189485549926758
000000000121,nan,nan,27.782272338867188
000000000122,0.3489125669002533,0.8939951658248901,21.86426544189453
000000000123,0.9862763285636902,0.00879131630063057,20.755653381347656
000000000124,0.7958029508590698,0.11892423033714294,29.365379333496094
